GLOSATIPOESTABLECIMIENTO,semana_epi_str,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
Hospital,05-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,05-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),1,1,0,0,0,0
Hospital,06-2025,1,Atenciones de urgencia - Total,26592,1310,2333,3572,14158,5219
Hospital,06-2025,2,Atenciones de urgencia - Total Respiratorios,1631,213,338,278,493,309
Hospital,06-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),144,21,39,18,37,29
Hospital,06-2025,4,Atenciones de urgencia - Influenza (J09-J11),48,1,2,6,16,23
Hospital,06-2025,5,Atenciones de urgencia - Neumonía (J12-J18),171,9,20,24,51,67
Hospital,06-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",361,20,21,36,149,135
Hospital,06-2025,7,Hospitalizaciones - Sistema Respiratorio,248,11,12,13,84,128
Hospital,06-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),775,153,236,169,198,19
Hospital,06-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),132,9,20,25,42,36
Hospital,06-2025,25,Hospitalizaciones - Total,3257,110,120,218,1615,1194
Hospital,06-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",11,7,2,0,0,2
Hospital,06-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",8,6,1,0,0,1
Hospital,06-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,06-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),1,0,0,0,0,1
Hospital,07-2025,1,Atenciones de urgencia - Total,26198,1314,2370,3385,13932,5197
Hospital,07-2025,2,Atenciones de urgencia - Total Respiratorios,1662,230,334,269,471,358
Hospital,07-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),137,19,35,17,35,31
Hospital,07-2025,4,Atenciones de urgencia - Influenza (J09-J11),35,0,3,6,15,11
Hospital,07-2025,5,Atenciones de urgencia - Neumonía (J12-J18),174,5,14,9,49,97
Hospital,07-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",381,28,38,37,142,136
Hospital,07-2025,7,Hospitalizaciones - Sistema Respiratorio,233,14,12,14,70,123
Hospital,07-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),790,165,220,178,194,33
Hospital,07-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),145,13,24,22,36,50
Hospital,07-2025,25,Hospitalizaciones - Total,3098,99,107,223,1530,1139
Hospital,07-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",19,12,5,1,1,0
Hospital,07-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",7,4,1,0,1,1
Hospital,07-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,07-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),1,0,0,0,0,1
Hospital,08-2025,1,Atenciones de urgencia - Total,26187,1342,2188,3375,13911,5371
Hospital,08-2025,2,Atenciones de urgencia - Total Respiratorios,1635,279,293,255,502,306
Hospital,08-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),137,21,25,18,44,29
Hospital,08-2025,4,Atenciones de urgencia - Influenza (J09-J11),31,0,1,4,17,9
Hospital,08-2025,5,Atenciones de urgencia - Neumonía (J12-J18),154,3,12,16,44,79
Hospital,08-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",367,35,30,32,146,124
Hospital,08-2025,7,Hospitalizaciones - Sistema Respiratorio,239,5,12,12,87,123
Hospital,08-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),834,217,207,162,216,32
Hospital,08-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),112,3,18,23,35,33
Hospital,08-2025,25,Hospitalizaciones - Total,3155,93,105,207,1473,1277
Hospital,08-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",21,12,4,2,2,1
Hospital,08-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",8,4,3,0,1,0
Hospital,08-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,08-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,09-2025,1,Atenciones de urgencia - Total,26208,1375,2423,3577,13504,5329
Hospital,09-2025,2,Atenciones de urgencia - Total Respiratorios,1848,316,382,320,465,365
Hospital,09-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),181,51,32,28,40,30
Hospital,09-2025,4,Atenciones de urgencia - Influenza (J09-J11),49,0,2,6,24,17
Hospital,09-2025,5,Atenciones de urgencia - Neumonía (J12-J18),176,7,22,13,48,86
Hospital,09-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",385,48,49,32,112,144
Hospital,09-2025,7,Hospitalizaciones - Sistema Respiratorio,254,22,15,19,64,134
Hospital,09-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),881,202,245,210,195,29
Hospital,09-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),176,8,32,31,46,59
Hospital,09-2025,25,Hospitalizaciones - Total,3128,121,118,213,1510,1166
Hospital,09-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",12,9,2,1,0,0
Hospital,09-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,1,0,0,0,0
Hospital,09-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),2,1,1,0,0,0
Hospital,09-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,10-2025,1,Atenciones de urgencia - Total,28269,1345,2578,4470,14514,5362
Hospital,10-2025,2,Atenciones de urgencia - Total Respiratorios,1929,280,417,391,537,304
Hospital,10-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),192,25,49,40,44,34
Hospital,10-2025,4,Atenciones de urgencia - Influenza (J09-J11),37,0,3,7,19,8
Hospital,10-2025,5,Atenciones de urgencia - Neumonía (J12-J18),158,10,12,21,54,61
Hospital,10-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",374,32,47,45,122,128
Hospital,10-2025,7,Hospitalizaciones - Sistema Respiratorio,295,17,24,21,87,146
Hospital,10-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),1010,208,284,246,245,27
Hospital,10-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),158,5,22,32,53,46
Hospital,10-2025,25,Hospitalizaciones - Total,3372,83,137,245,1696,1211
Hospital,10-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",17,11,4,1,0,1
Hospital,10-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",5,3,2,0,0,0
Hospital,10-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,10-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),1,0,0,0,1,0
Hospital,11-2025,1,Atenciones de urgencia - Total,32629,1779,3374,7023,15056,5397
Hospital,11-2025,2,Atenciones de urgencia - Total Respiratorios,3505,543,944,992,678,348
Hospital,11-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),385,43,149,105,55,33
Hospital,11-2025,4,Atenciones de urgencia - Influenza (J09-J11),67,3,5,24,19,16
Hospital,11-2025,5,Atenciones de urgencia - Neumonía (J12-J18),249,11,44,34,73,87
Hospital,11-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",510,61,86,89,144,130
Hospital,11-2025,7,Hospitalizaciones - Sistema Respiratorio,426,18,93,75,91,149
Hospital,11-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),1973,410,582,625,323,33
Hospital,11-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),321,15,78,115,64,49
Hospital,11-2025,25,Hospitalizaciones - Total,3586,105,203,307,1654,1317
Hospital,11-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",20,7,5,3,4,1
Hospital,11-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",6,1,1,1,1,2
Hospital,11-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,11-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,12-2025,1,Atenciones de urgencia - Total,34463,2050,3807,7893,15280,5433
Hospital,12-2025,2,Atenciones de urgencia - Total Respiratorios,4769,853,1289,1384,845,398
Hospital,12-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),624,120,239,156,66,43
Hospital,12-2025,4,Atenciones de urgencia - Influenza (J09-J11),87,3,7,35,29,13
Hospital,12-2025,5,Atenciones de urgencia - Neumonía (J12-J18),286,14,57,59,70,86
Hospital,12-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",674,78,116,141,180,159
Hospital,12-2025,7,Hospitalizaciones - Sistema Respiratorio,537,46,117,113,115,146
Hospital,12-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2587,615,738,794,400,40
Hospital,12-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),511,23,132,199,100,57
Hospital,12-2025,25,Hospitalizaciones - Total,3613,124,222,382,1648,1237
Hospital,12-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",9,4,0,3,1,1
Hospital,12-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",7,4,1,1,1,0
Hospital,12-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,12-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,13-2025,1,Atenciones de urgencia - Total,32864,1843,3701,7491,14751,5078
Hospital,13-2025,2,Atenciones de urgencia - Total Respiratorios,4358,701,1154,1150,902,451
Hospital,13-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),530,101,168,125,93,43
Hospital,13-2025,4,Atenciones de urgencia - Influenza (J09-J11),83,0,8,30,29,16
Hospital,13-2025,5,Atenciones de urgencia - Neumonía (J12-J18),315,10,53,57,83,112
Hospital,13-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",707,87,133,128,191,168
Hospital,13-2025,7,Hospitalizaciones - Sistema Respiratorio,454,31,94,80,94,155
Hospital,13-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2335,484,699,678,428,46
Hospital,13-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),388,19,93,132,78,66
Hospital,13-2025,25,Hospitalizaciones - Total,3528,101,206,341,1604,1276
Hospital,13-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",4,1,1,1,0,1
Hospital,13-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",6,0,1,0,5,0
Hospital,13-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),1,0,0,0,0,1
Hospital,13-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,14-2025,1,Atenciones de urgencia - Total,31515,1562,3430,7117,14269,5137
Hospital,14-2025,2,Atenciones de urgencia - Total Respiratorios,4104,620,1065,1048,895,476
Hospital,14-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),503,80,180,115,86,42
Hospital,14-2025,4,Atenciones de urgencia - Influenza (J09-J11),98,1,8,36,31,22
Hospital,14-2025,5,Atenciones de urgencia - Neumonía (J12-J18),354,16,54,57,102,125
Hospital,14-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",709,83,129,107,203,187
Hospital,14-2025,7,Hospitalizaciones - Sistema Respiratorio,469,34,83,45,117,190
Hospital,14-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2104,412,606,644,394,48
Hospital,14-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),336,28,88,89,79,52
Hospital,14-2025,25,Hospitalizaciones - Total,3488,105,200,261,1625,1297
Hospital,14-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",2,0,0,1,0,1
Hospital,14-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,1,0
Hospital,14-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),1,1,0,0,0,0
Hospital,14-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,15-2025,1,Atenciones de urgencia - Total,32843,1561,3644,7952,14566,5120
Hospital,15-2025,2,Atenciones de urgencia - Total Respiratorios,4266,564,1078,1194,956,474
Hospital,15-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),548,74,167,147,113,47
Hospital,15-2025,4,Atenciones de urgencia - Influenza (J09-J11),108,3,12,44,36,13
Hospital,15-2025,5,Atenciones de urgencia - Neumonía (J12-J18),358,12,47,65,110,124
Hospital,15-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",691,69,131,123,188,180
Hospital,15-2025,7,Hospitalizaciones - Sistema Respiratorio,466,37,75,48,119,187
Hospital,15-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2178,382,616,705,430,45
Hospital,15-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),383,24,105,110,79,65
Hospital,15-2025,25,Hospitalizaciones - Total,3602,117,179,333,1679,1294
Hospital,15-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",3,0,0,0,0,3
Hospital,15-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",2,0,0,1,1,0
Hospital,15-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,15-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,16-2025,1,Atenciones de urgencia - Total,32036,1667,3991,7133,13992,5253
Hospital,16-2025,2,Atenciones de urgencia - Total Respiratorios,4656,571,1173,1375,972,565
Hospital,16-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),601,86,196,156,106,57
Hospital,16-2025,4,Atenciones de urgencia - Influenza (J09-J11),162,9,20,66,42,25
Hospital,16-2025,5,Atenciones de urgencia - Neumonía (J12-J18),424,11,61,73,131,148
Hospital,16-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",707,54,118,117,225,193
Hospital,16-2025,7,Hospitalizaciones - Sistema Respiratorio,471,30,65,55,118,203
Hospital,16-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2405,396,702,861,396,50
Hospital,16-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),357,15,76,102,72,92
Hospital,16-2025,25,Hospitalizaciones - Total,3493,105,179,279,1587,1343
Hospital,16-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",4,1,0,0,1,2
Hospital,16-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",23,4,3,8,3,5
Hospital,16-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,16-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,17-2025,1,Atenciones de urgencia - Total,34035,1715,3968,7970,14991,5391
Hospital,17-2025,2,Atenciones de urgencia - Total Respiratorios,5091,631,1199,1450,1186,625
Hospital,17-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),700,113,202,162,144,79
Hospital,17-2025,4,Atenciones de urgencia - Influenza (J09-J11),205,6,35,87,49,28
Hospital,17-2025,5,Atenciones de urgencia - Neumonía (J12-J18),452,19,54,78,132,169
Hospital,17-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",748,69,110,121,233,215
Hospital,17-2025,7,Hospitalizaciones - Sistema Respiratorio,469,32,66,40,133,198
Hospital,17-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2590,402,713,884,541,50
Hospital,17-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),396,22,85,118,87,84
Hospital,17-2025,25,Hospitalizaciones - Total,3544,110,188,319,1646,1281
Hospital,17-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,1,0,0,0
Hospital,17-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,0,1
Hospital,17-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Hospital,17-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,18-2025,1,Atenciones de urgencia - Total,31909,1539,3677,7049,14400,5244
Hospital,18-2025,2,Atenciones de urgencia - Total Respiratorios,5047,536,1191,1592,1129,599
Hospital,18-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),686,100,215,181,129,61
Hospital,18-2025,4,Atenciones de urgencia - Influenza (J09-J11),237,14,34,100,64,25
Hospital,18-2025,5,Atenciones de urgencia - Neumonía (J12-J18),450,13,44,96,149,148
Hospital,18-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",705,55,102,109,223,216
Hospital,18-2025,7,Hospitalizaciones - Sistema Respiratorio,516,32,54,50,141,239
Hospital,18-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2622,333,719,1011,492,67
Hospital,18-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),347,21,77,95,72,82
Hospital,18-2025,25,Hospitalizaciones - Total,3305,101,178,304,1461,1261
Hospital,18-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
Hospital,18-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",2,0,0,0,2,0
Hospital,18-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),1,0,0,0,0,1
Hospital,18-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,19-2025,1,Atenciones de urgencia - Total,31641,1536,3562,6677,14580,5286
Hospital,19-2025,2,Atenciones de urgencia - Total Respiratorios,5155,558,1198,1354,1344,701
Hospital,19-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),706,109,197,168,165,67
Hospital,19-2025,4,Atenciones de urgencia - Influenza (J09-J11),215,10,31,79,65,30
Hospital,19-2025,5,Atenciones de urgencia - Neumonía (J12-J18),468,10,63,67,141,187
Hospital,19-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",836,82,127,137,237,253
Hospital,19-2025,7,Hospitalizaciones - Sistema Respiratorio,533,35,65,44,149,240
Hospital,19-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2548,337,702,814,622,73
Hospital,19-2025,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),382,10,78,89,114,91
Hospital,19-2025,25,Hospitalizaciones - Total,3451,114,163,266,1638,1270
Hospital,19-2025,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,0,0,1,0
Hospital,19-2025,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Hospital,19-2025,32,Hospitalizaciones - Covid-19 Identificado (U7.1),1,0,0,0,1,0
Hospital,19-2025,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Hospital,20-2025,1,Atenciones de urgencia - Total,32746,1465,3667,7676,14669,5269
Hospital,20-2025,2,Atenciones de urgencia - Total Respiratorios,5449,561,1244,1635,1308,701
Hospital,20-2025,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),697,93,182,191,158,73
Hospital,20-2025,4,Atenciones de urgencia - Influenza (J09-J11),359,8,50,156,93,52
Hospital,20-2025,5,Atenciones de urgencia - Neumonía (J12-J18),516,12,72,85,173,174
Hospital,20-2025,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",806,56,106,135,254,255
Hospital,20-2025,7,Hospitalizaciones - Sistema Respiratorio,611,41,69,71,166,264
Hospital,20-2025,10,Atenciones de urgencia - IRA Alta (J00-J06),2681,380,756,953,531,61
